,Brand,Original_price,Discount_price,Camera,Pixels,WiFi Connectivity,Discount,Ratings
468,WINDCOMM,"3,999","₹1,619",Action CameraSport Camera,12,No,59,
469,Bzrqx,"2,999","₹1,299",,12,No,56,
470,Suroskie,"3,600","₹1,614",,16,Yes,55,3
471,Akaso,"18,999","₹6,890",,20,No,63,4
472,Suroskie,"2,500","₹1,259",Action CameraAction Camera,12,No,49,2.9
473,MiloMiles,"14,999","₹4,999",WiFi Camera,,Yes,66,
474,SJCAM,"4,400","₹2,699",,5,No,38,4.3
475,FUJIFILM,"10,999","₹9,499",,,No,13,4.4
476,RHONNIUM,"2,500","₹1,250",,12,No,50,3.7
477,Plastikraft,"19,999","₹11,999",,,No,40,
478,TOTAL,"19,999","₹6,999",,44,No,65,
479,ALA,"1,432",₹999,Micro CameraMini Camera,12,No,30,1.8
